Publication.Number;Publication.Year;IPC;Main.IPC.Subclass;Simple.Family;Count.of.Simple.Family.Members;Simple.Family.Cited.by.Count;Count.of.Other.References;Count.of.Cited.by.Patents;Count.of.Cites.Patents;Count.of.Cited.by.Patents.Within.3.years;Count.of.Cited.by.Patents.Within.5.years;Simple.Legal.Status;Count.of.claims;Quality.of.Family;Classifier
US20190138988A1;2019;G06Q10/08 | G05D1/02 | G05D1/10 | G08G5/00;G06Q;CA3024594A1 | CN109641658A | GB201819538D0 | GB2565027A | US20190138988A1 | WO2017201236A1;6;0;0;0;0;0;0;Pending;28;High;Strong
US7661624;2010;B64C27/08 | B64C39/08 | B64C27/605 | B64C39/00;B64C;AT489282T | AU2003235555A1 | DE50313278D1 | EA005935B1 | EA200401245A1 | EP1502851A1 | EP1502851A4 | EP1502851B1 | RU2232105C2 | US20050236517A1 | US7661624 | WO2003086857A1 | WO2003086857A8;13;30;0;4;4;0;1;Inactive;2;High;Weak
US20090236475A1;2009;B64C29/00;B64C;US20090236475A1;1;4;0;4;39;3;3;Inactive;9;High;Strong
FR2896728B3;2008;B60F5/02 | B64C39/00;B60F;FR2896728A1 | FR2896728B3;2;5;0;0;0;0;0;Inactive;4;Low;Weak
FR1213123A;1960;B64C29/00 | B64C39/00 | B64C39/06;B64C;FR1213123A;1;0;0;0;0;0;0;Inactive;1;Low;Weak
DE3903779A1;1990;B64C31/00 | B64D17/02 | B64D17/00 | B64C31/028 | B64C31/06 | B64C39/00 | B64C3/30;B64C;DE3903779A1;1;12;0;12;0;1;1;Inactive;43;Low;Strong
GB605640A;1948;B64C39/10 | B64C39/00;B64C;GB605640A;1;5;0;5;0;0;0;Inactive;13;Low;Weak
FR1018196A;1952;B64C39/00;B64C;FR1018196A;1;8;0;8;0;6;7;Inactive;14;Low;Strong
WO2001008777A1;2001;B64C5/02 | B64C9/12 | B64C39/02 | A63H30/04 | A63H27/18 | B64C5/00 | A63H27/00 | B64C39/00 | A63H30/00 | B64C9/00;B64C;AU2000058012A1 | CN2384863Y | WO2001008777A1;3;9;0;6;6;0;0;Undetermined;3;Low;Weak
CH139061A;1930;B64C39/00 | B64C39/08;B64C;CH139061A;1;6;0;6;0;0;0;Inactive;1;Low;Weak
CN109911200A;2019;B64C39/00;B64C;CN109911200A;1;0;0;0;0;0;0;Pending;3;Low;Weak
GB191023303A;1911;B64C39/00;B64C;GB191023303A;1;0;0;0;0;0;0;Inactive;5;Low;Strong
FR395029A;1909;B64C39/00;B64C;FR395029A;1;0;0;0;0;0;0;Inactive;7;Low;Weak
FR465537A;1914;B64C39/00;B64C;FR465537A;1;2;0;2;0;0;0;Inactive;24;Low;Strong
US3949694;1976;B63C11/00 | B63C11/42 | B63G8/00 | B63H5/02 | B63G8/16 | B63H1/00 | B63H5/00 | B63H1/10 | B64C39/00;B63C;DE2320436A1 | DE2320514A1 | FR2181486A1 | FR2181486B1 | GB1427801A | GB1427802A | JP1974042081A | US3865060 | US3938759 | US3949694;10;37;0;11;19;0;0;Inactive;9;High;Strong
GB124005A;1919;B64C39/00;B64C;GB124005A;1;0;0;0;0;0;0;Inactive;4;Low;Strong
GB2238376B;1991;B64C39/02 | B64C39/00 | B64C15/00 | F41J9/00 | F41J9/10 | B64F3/00 | F41H11/00;B64C;GB2238376A | GB2238376B | GB8627008D0;3;3;1;0;0;0;0;Inactive;18;Low;Strong
EP2619090A1;2013;B64C39/00;B64C;EP2619090A1 | US20120074264A1 | WO2012040446A1;3;8;0;0;0;0;0;Inactive;53;High;Strong
GB2387158A;2003;B64C39/00 | B64C39/06 | B64C29/00 | B64C9/00 | B64C21/00;B64C;GB0204854D0 | GB2387158A | GB2387158B;3;20;0;19;11;11;13;Inactive;8;Low;Weak
WO2005047103A1;2005;B64C39/12 | B64C23/00 | B64C35/00 | B64D27/16 | B60V1/08 | B64C3/10 | B64C29/00 | B64C39/00 | B64C31/02;B64C;AU2003280789A1 | AU2003280789A8 | WO2005047103A1;3;1;0;1;1;0;0;Undetermined;10;Low;Strong
KR1020050043812A;2005;B64C39/00 | B64C7/00;B64C;KR1020050043812A;1;0;0;0;0;0;0;Inactive;8;Low;Strong
GB190912042A;1910;B64C39/00;B64C;GB190912042A;1;0;0;0;0;0;0;Inactive;10;Low;Strong
CA2815850C;2019;B64C1/00 | B64C1/06 | B64C39/00;B64C;CA2815850A1 | CA2815850C;2;4;0;0;0;0;0;Active;19;Low;Weak
US4379532;1983;B64C39/00 | B64C39/02 | B64C15/02;B64C;US4379532;1;25;1;25;11;0;1;Inactive;4;High;Strong
JP2006149266A;2006;B64C39/02 | B64D1/16 | A01M9/00 | B05B17/00 | B64C27/04 | B64C39/00 | B64C27/00 | B64D1/00;B64C;JP2006149266A | JP4286766B2;2;1;0;1;0;1;1;Inactive;15;Low;Strong
FR814014A;1937;B64C39/00 | B64C39/04;B64C;FR814014A;1;4;0;4;0;0;1;Inactive;2;Low;Weak
US6086015;2000;B64C29/00 | B64D1/00 | B64D1/22 | B64C39/00 | B64D1/08 | B64C39/02 | B64C29/02;B64C;AU2000055862A1 | US6086015 | WO2000068077A1 | WO2000068077B1;4;30;0;29;16;3;4;Inactive;44;High;Strong
US4875642;1989;B64C31/036 | B64C31/00 | B64C31/024 | B64C39/00;B64C;AU1988011718A1 | EP0278784A2 | EP0278784A3 | GB8703299D0 | US4875642;5;26;1;16;10;2;2;Inactive;18;High;Strong
FR495994A;1919;B64C39/10 | B64C39/00;B64C;FR495994A;1;0;0;0;0;0;0;Inactive;19;Low;Strong
DE102015220800A1;2017;B61B7/04;B61B;DE102015220800A1 | DE102015220800B4;2;0;0;0;5;0;0;Active;65;Low;Weak
EP0574766A1;1993;B64C39/00 | B64C1/00 | B64C39/06;B64C;EP0574766A1 | RU2052367C1;2;7;0;0;2;0;0;Inactive;6;Low;Strong
DE7912931U1;1979;B64C39/00;B64C;DE7912931U1;1;0;0;0;0;0;0;Inactive;17;Low;Strong
FR722421A;1932;B64C39/10 | B64C39/00;B64C;FR722421A;1;0;0;0;0;0;0;Inactive;2;Low;Weak
KR100169708B1;1998;B64C39/00 | B64B1/20 | B64B1/00;B64C;KR100169708B1 | KR1019970020889A;2;0;0;0;0;0;0;Inactive;3;Low;Strong
DE102006031981A1;2008;B64B1/20 | B64C39/00;B64B;DE102006031981A1;1;3;0;3;7;1;3;Inactive;11;Low;Strong
FR823288A;1938;B64C39/10 | B64C39/00;B64C;FR823288A;1;0;0;0;0;0;0;Inactive;2;Low;Weak
CN101513934B;2010;B64C39/00 | B64C37/00 | B64C1/00 | B64C3/00 | B64D27/00;B64C;CN101513934A | CN101513934B;2;3;0;0;1;0;0;Inactive;10;Low;Weak
FR2079307A1;1971;B64C29/00 | B64C39/00 | B64C27/00;B64C;DE2005333A1 | FR2079307A1 | NL7100362A;3;0;0;0;0;0;0;Inactive;31;Low;Strong
GB727159A;1955;B64C39/00 | B64C39/02 | B64D11/00;B64C;GB727159A;1;7;0;7;0;2;2;Inactive;32;Low;Strong
GB233787A;1925;B64C39/00;B64C;GB233787A;1;0;0;0;0;0;0;Inactive;10;Low;Strong
JP2006176073A;2006;B64C13/20 | B64C39/02 | B64D1/16 | B64C27/04 | A01M7/00 | B64C39/00 | B64C27/00 | B64D1/00 | B64C13/00;B64C;JP2006176073A | JP4474275B2;2;21;0;21;1;2;5;Inactive;16;Low;Weak
CN204433056U;2015;B64C39/00 | B64D35/00 | B64C27/32;B64C;CN204433056U;1;2;0;2;0;0;0;Inactive;9;Low;Strong
CN101475059A;2009;B64C39/00 | H02N15/00;B64C;CN101475059A;1;0;0;0;0;0;0;Inactive;5;Low;Strong
FR885161A;1943;B64C39/00 | B64C39/02;B64C;FR885161A;1;0;0;0;0;0;0;Inactive;5;Low;Strong
DE8424492U1;1984;B64C31/06 | B64C39/00;B64C;DE8424492U1;1;0;0;0;0;0;0;Inactive;19;Low;Weak
WO2013028221A1;2013;G05D1/08;G05D;TW201332839A | US10204522 | US20140343752A1 | US20160163206A1 | US20170270807A1 | US9208689 | US9672748 | WO2013028221A1;8;28;0;6;4;6;6;Undetermined;24;High;Weak
US4934630;1990;B64C31/036 | B64C31/00 | B64C39/00;B64C;US4934630;1;50;1;50;11;6;7;Inactive;32;High;Strong
FR562974A;1923;B64C39/00;B64C;FR562974A;1;0;0;0;0;0;0;Inactive;1;Low;Strong
FR396913A;1909;B64C39/00;B64C;FR396913A;1;0;0;0;0;0;0;Inactive;27;Low;Strong
NL8802522A;1990;B64C3/30 | B64C31/028 | B64C31/036 | B64C39/00;B64C;NL8802522A;1;0;0;0;0;0;0;Inactive;11;Low;Strong
KR1020160072726A;2016;B64C37/00 | B64C29/00 | B64C39/00 | B60F5/02;B64C;KR1020160072726A;1;0;0;0;1;0;0;Inactive;3;Low;Strong
US5029774;1991;A63H27/00 | A63H27/08 | B64C39/06 | B64C39/00 | B64C31/00 | B64C31/02 | A63H27/16 | B64C31/08;A63H;CA2071945A1 | US5029774 | WO1991009777A1;3;1;0;1;6;0;0;Inactive;46;High;Weak
US6270036;2001;B64B1/00 | B64C39/00 | B64C15/00 | B64C29/00;B64B;US6270036;1;42;0;42;24;3;9;Inactive;33;High;Strong
DE9115242U1;1992;B64C31/028 | B64C31/06 | B64C39/00;B64C;DE9115242U1;1;1;0;1;0;0;0;Inactive;70;Low;Weak
GB191317380A;1914;B64C39/00;B64C;GB191317380A;1;0;0;0;0;0;0;Inactive;8;Low;Strong
US5979824;1999;B64C9/00 | B64C39/00 | B64C1/26 | B64C39/04 | B64C1/00 | B64C5/00 | B64C5/02;B64C;US5979824;1;18;3;20;28;2;4;Inactive;52;High;Strong
FR19473E;1915;B64C39/00;B64C;FR19473E;1;0;0;0;0;0;0;Inactive;11;Low;Weak
US6446908;2002;B64C39/08 | B64C39/00 | B64C3/00 | B64C3/16 | B64C3/10 | B64C5/06;B64C;US6446908;1;10;0;10;4;3;3;Inactive;12;High;Strong
DE20216089U1;2003;B64C23/02 | B64C39/00 | B64C5/00;B64C;DE20216089U1;1;1;0;1;0;0;0;Inactive;23;Low;Weak
US20030222170A1;2003;B64C3/00 | B64F5/00 | B64C27/22 | B64C39/00;B64C;US20030222170A1 | US20040245394A1 | US6726149 | US6929219;4;31;0;4;0;0;0;;70;High;Weak
FR448807A;1913;B64C39/00;B64C;FR448807A;1;0;0;0;0;0;0;Inactive;30;Low;Weak
CN204979237U;2016;B64C39/00;B64C;CN204979237U;1;0;0;0;0;0;0;Inactive;5;Low;Weak
CH106915A;1924;B64C37/00 | B64C39/00 | B60F5/00 | B60F5/02;B64C;CH106915A;1;5;0;5;0;0;0;Inactive;8;Low;Strong
FR456756A;1913;B64C39/00;B64C;FR456756A;1;0;0;0;0;0;0;Inactive;5;Low;Strong
FR1032665A;1953;B64C39/00 | B64C39/12;B64C;FR1032665A;1;5;0;5;0;0;0;Inactive;12;Low;Weak
FR865051A;1941;B64C39/00;B64C;FR865051A;1;0;0;0;0;0;0;Inactive;1;Low;Strong
CN105398574A;2016;B64C39/00 | B64C25/32 | B64C25/64;B64C;CN105398574A;1;0;0;0;6;0;0;Inactive;4;Low;Strong
US20010004098A1;2001;B64C39/00 | B64G1/00 | B64G1/40 | F03G3/00;B64C;US20010004098A1;1;14;0;14;0;7;9;Inactive;73;High;Strong
FR498317A;1920;B64C39/00 | B64C39/12;B64C;FR498317A;1;0;0;0;0;0;0;Inactive;21;Low;Strong
CH681290A5;1993;B64C39/00 | B64C27/00 | B64C27/10;B64C;CH681290A5;1;8;0;8;0;1;1;Inactive;20;Low;Strong
WO2000047472A3;2000;B64G1/00 | B64G1/40 | B64C39/00 | F03H1/00;B64G;DE60004297D1 | DE60004297T2 | EP1071610A2 | EP1071610B1 | US6179250 | WO2000047472A2 | WO2000047472A3;7;1;2;0;0;0;0;Undetermined;17;High;Strong
US4433819;1984;B64C39/00 | B64C29/00 | B64C39/06;B64C;US4433819;1;36;0;36;10;2;8;Inactive;44;High;Strong
JP2003002297A;2003;B64C39/00;B64C;JP2003002297A;1;0;0;0;0;0;0;Inactive;5;Low;Strong
US3756541;1973;B64C39/00 | B64C27/46;B64C;GB1338634A | US3756541;2;11;0;11;1;0;0;Inactive;6;High;Weak
FR2543512B1;1985;B64C31/028 | B64C39/00;B64C;FR2543512A1 | FR2543512B1;2;3;0;2;0;1;1;Inactive;5;Low;Strong
CN2310732Y;1999;B64C31/028 | B64C39/00;B64C;CN2310732Y;1;2;0;2;0;0;0;Inactive;5;Low;Strong
EP3177527A4;2017;B64C39/00;B64C;CN107531324A | EP3177527A1 | EP3177527A4 | JP2018502001A | JP6524545B2 | WO2016154942A1;6;9;1;0;5;0;0;Pending;108;Low;Strong
FR426430A;1911;B64C39/00;B64C;FR426430A;1;0;0;0;0;0;0;Inactive;23;Low;Strong
CN2574997Y;2003;B64C29/04 | B64C39/00;B64C;CN2574997Y;1;3;0;3;0;0;0;Inactive;2;Low;Strong
RU2036823C1;1995;B64C15/12 | B64C39/00;B64C;RU2036823C1;1;0;1;0;0;0;0;Inactive;7;Low;Strong
US7032859;2006;B64C27/22 | B64C29/00 | B64C39/00 | F04B35/04 | H02K21/12;B64C;US20060016929A1 | US7032859;2;56;1;41;15;17;22;Inactive;20;High;Strong
US5259571;1993;B64C39/00 | B64C39/06 | B64C15/00;B64C;DE4123709A1 | DE4123709C2 | ES2028709A6 | US5259571;4;48;0;46;9;4;4;Inactive;14;High;Strong
CN101054114A;2007;B64C39/00 | A63H30/00 | B60P3/11 | B63G11/00;B64C;CN101054114A;1;15;0;15;4;0;1;Inactive;10;Low;Strong
CN201102628Y;2008;B64C39/00;B64C;CN201102628Y;1;3;0;3;0;0;1;Inactive;4;Low;Strong
US6404089;2002;B64C39/00 | H02N11/00 | H05H1/24 | H05H1/54 | H02K21/28 | H02K1/00 | H02K5/00;B64C;AU2001273462A1 | AU2001273462B2 | CA2416871A1 | CN1258860C | CN1462500A | EP1312152A1 | EP1312152A4 | JP2004505420A | MXPA03000593A | RU2268542C2 | US6404089 | WO2002009259A1 | WO2002009259B1 | ZA200300560B;14;106;0;86;15;17;28;Inactive;77;High;Strong
FR2401061A1;1979;B64C1/00 | B64C39/00 | B64C3/04;B64C;FR2401061A1;1;1;0;1;16;1;1;Inactive;16;Low;Weak
CN204822082U;2015;B64C39/00 | B64C1/30 | B64F1/06;B64C;CN204822082U;1;5;0;5;0;3;3;Inactive;9;Low;Strong
CN104648671A;2015;B64C39/00 | B64D27/24;B64C;CN104648671A;1;0;0;0;0;0;0;Inactive;7;Low;Strong
GB2471663A;2011;B64C39/10 | B64C29/00 | B64C39/06 | F15D1/10;B64C;GB0911668D0 | GB2471663A | WO2011004187A2 | WO2011004187A3;4;1;0;1;5;0;0;Inactive;4;Low;Strong
FR515658A;1921;B64C39/00;B64C;FR515658A;1;2;0;2;0;0;0;Inactive;1;Low;Strong
RU83485U1;2009;B64C39/00;B64C;RU83485U1;1;0;0;0;0;0;0;Inactive;1;Low;Weak
CN101249889A;2008;B64C39/00;B64C;CN101249889A;1;5;0;5;0;2;4;Inactive;4;Low;Strong
US3942748;1976;B64C39/00 | B64C39/02 | B64C25/32;B64C;US3942748;1;4;0;4;5;0;0;Inactive;48;High;Strong
DE3720107A1;1989;B64C39/00;B64C;DE3720107A1;1;1;0;1;0;1;1;Inactive;79;Low;Weak
FR1347733A;1964;B64C39/00;B64C;FR1347733A;1;10;0;10;0;2;2;Inactive;1;Low;Strong
WO2016132302A3;2016;B64C39/00 | B64C3/40 | B64C3/38;B64C;IN795CHE2015A | WO2016132302A2 | WO2016132302A3;3;0;0;0;4;0;0;Undetermined;22;Low;Weak
US3871602;1975;B64C39/06 | B64C39/00 | B64C3/12;B64C;US3871602;1;11;0;11;11;1;1;Inactive;7;High;Strong
GB481014A;1938;B64C39/00 | F03D3/06 | F03D3/00;B64C;GB481014A;1;4;0;4;0;0;0;Inactive;11;Low;Weak
EP0939726B1;2005;B64C27/02 | B64C39/00 | B64G1/00 | B64G1/40 | F03G3/00 | F03G3/08;B64C;AU1998073000A1 | AU734966B2 | CA2270155A1 | CA2270155C | DE69733267D1 | EP0939726A1 | EP0939726A4 | EP0939726B1 | HK1022675A1 | IL129681D0 | JP2001504773A | WO1998022341A1;12;8;1;0;6;0;0;Inactive;62;Low;Strong
FR1180818A;1959;B64C29/00 | B64C39/00 | B64C29/02 | B64C39/06;B64C;FR1180818A;1;8;0;8;0;0;0;Inactive;1;Low;Strong
US4726546;1988;B64C39/00 | B64C39/10 | B64C39/06;B64C;US4726546;1;19;0;19;7;2;2;Inactive;25;High;Strong
FR802292A;1936;B64C39/00 | B64C39/08;B64C;FR802292A;1;2;0;2;0;0;0;Inactive;1;Low;Strong
GB2424463A;2006;B64C | B64C39/06 | B64C17/00 | B64C21/08 | B64C21/04 | B64C29/02 | B64C39/00;B64C;EP1863703A1 | GB0505957D0 | GB2424463A | US20090065649A1 | WO2006100524A1;5;13;0;6;5;4;4;Inactive;10;High;Weak
EP0214999A1;1987;B64C39/00 | B64C39/06;B64C;EP0214999A1 | WO1986004874A1;2;2;0;0;0;0;0;Inactive;51;Low;Weak
US20050067524A1;2005;B64D3/00 | B64G1/00 | B64G1/14 | B64C39/00 | B64C27/22;B64D;US20050067524A1 | US6913224;2;22;0;11;10;2;4;Inactive;30;High;Weak
DE3710810A1;1988;B64C39/00 | B66F19/00 | B66F11/00;B64C;DE3710810A1;1;0;0;0;0;0;0;Inactive;23;Low;Strong
GB283980A;1928;B64C39/00;B64C;GB283980A;1;2;0;2;0;0;0;Inactive;19;Low;Strong
GB640522A;1950;B64C39/00;B64C;GB640522A;1;3;0;3;0;0;0;Inactive;12;Low;Weak
FR909071A;1946;B64C39/00 | B64C39/06;B64C;FR909071A;1;1;0;1;0;0;0;Inactive;2;Low;Weak
EP2028101A3;2011;G01L5/13 | B64C39/00 | G01S19/14 | G01S19/23 | G01S19/42 | G01S19/49 | G01S19/52 | H04B7/00 | H04J3/16 | H04L | H04Q5/22 | H04W4/06 | H04W84/06;G01L;AT408155T | DE602004016490D1 | EP1625670A2 | EP1625670A4 | EP1625670B1 | EP2028101A2 | EP2028101A3 | EP2028773A2 | EP2028773A3 | US20070127406A1 | US20100010696A1 | US20120020208A1 | US7605750 | US8055394 | US9013988;15;11;0;0;0;0;0;Inactive;15;High;Weak
DE19630026A1;1998;B64C39/00 | B64C39/06;B64C;DE19630026A1;1;3;0;3;0;0;0;Inactive;22;Low;Strong
FR921387A;1947;B64C39/10 | B64C39/00;B64C;FR921387A;1;0;0;0;0;0;0;Inactive;13;Low;Strong
FR11105E;1909;B64C39/00;B64C;FR11105E;1;0;0;0;0;0;0;Inactive;29;Low;Weak
FR620149A;1927;B64C39/00;B64C;FR620149A;1;2;0;2;0;0;0;Inactive;1;Low;Strong
US4166595;1979;B64C39/00;B64C;US4166595;1;12;0;12;2;0;0;Inactive;72;High;Strong
NL1001276C;1997;B64C27/08 | B64C39/00 | B64C27/00;B64C;NL1001276C;1;0;0;0;0;0;0;Undetermined;1;Low;Strong
FR659552A;1929;B64C39/00;B64C;FR659552A;1;0;0;0;0;0;0;Inactive;1;Low;Strong
CN201176264Y;2009;B64C39/00 | A63H27/00;B64C;CN201176264Y;1;4;0;4;0;0;1;Inactive;1;Low;Strong
CN201712789U;2011;B64C39/00 | B64D27/16;B64C;CN201712789U;1;1;0;1;0;0;0;Inactive;1;Low;Weak
US5340057;1994;B64C39/04 | B64C29/02 | B64C39/00 | B64C29/00 | B64C3/38 | B64C3/00 | B64C39/02;B64C;AT180452T | CA2131986A1 | DE69325090D1 | EP0629164A1 | EP0629164A4 | EP0629164B1 | US5340057 | WO1993017908A1;8;45;2;42;38;3;4;Inactive;27;High;Strong
US5728965;1998;B64C39/00 | B64C39/02 | F41H11/00 | F41H11/02 | F41G7/00;B64C;EP0737841A1 | FR2733042A1 | FR2733042B1 | US5728965;4;38;0;35;9;1;3;Inactive;30;High;Strong
US6572053;2003;B60V1/00 | B60V1/02 | B64C29/00 | B64C39/06 | B64D25/00 | B64D25/12 | B64C39/00 | B64C29/02;B60V;PE0003272002A1 | US20020125366A1 | US6572053;3;43;0;30;9;5;9;Inactive;37;High;Weak
GB121378A;1918;B64C39/00;B64C;GB121378A;1;0;0;0;0;0;0;Inactive;6;Low;Strong
CN106143908B;2019;B64C39/00 | B64C25/62 | B64C25/64 | F03D9/25 | F03D9/32;B64C;CN106143908A | CN106143908B;2;6;0;0;0;0;0;Active;14;Low;Strong
US7568657;2009;B64C9/00;B64C;US20060202083A1 | US7568657;2;9;0;4;5;4;4;Inactive;13;High;Strong
GB732657A;1955;B64C39/00;B64C;GB732657A;1;10;0;10;0;0;0;Inactive;30;Low;Strong
EP1226071A2;2002;B64C39/00;B64C;AU2001056880A1 | EP1226071A2 | WO2001061188A2 | WO2001061188A3;4;2;1;0;0;0;0;Inactive;25;Low;Strong
FR2041505A6;1971;B64C23/02 | B64C39/00 | F04D33/00 | F04F5/16 | F04F5/42 | F15D1/00 | F04F5/00;B64C;FR2041505A6;1;0;0;0;0;0;0;Inactive;2;Low;Weak
US7461811;2008;B64C27/22;B64C;US20060054736A1 | US7461811;2;34;0;20;8;9;15;Inactive;20;High;Strong
CN102700713A;2012;B64C39/00 | B64D7/00;B64C;CN102700713A;1;13;0;13;6;5;13;Inactive;6;Low;Weak
DE10128119B4;2007;B64C1/38 | B64C3/36 | B64C23/08 | B64C39/00;B64C;DE10128119A1 | DE10128119B4;2;1;0;0;2;0;0;Inactive;13;Low;Strong
GB601118A;1948;B64C39/00;B64C;GB601118A;1;0;0;0;0;0;0;Inactive;9;Low;Weak
US4030688;1977;B64C39/00 | B64C3/10 | B64C39/12 | B64D27/10 | B64D27/14 | B64D27/20 | B64C3/08;B64C;CA1022139A | DE2508138A1 | FR2302912A1 | FR2302912B1 | GB1493436A | IT1033143B1 | JP1975125499A | US4030688 | ZA197500991B;9;29;0;19;13;0;1;Inactive;10;High;Weak
GB191217362A;1913;B64C39/00 | B64C39/06;B64C;GB191217362A;1;0;0;0;0;0;0;Inactive;3;Low;Weak
US6712312;2004;B64C39/00 | B64C39/02 | F42B12/36 | F42B12/02 | B64C33/02;B64C;US6712312;1;52;3;52;12;7;23;Inactive;37;High;Weak
GB113979A;1918;B64C39/00;B64C;GB113979A;1;0;0;0;0;0;0;Inactive;8;Low;Strong
GB760571A;1956;B64C39/00;B64C;GB760571A;1;1;0;1;0;0;0;Inactive;43;Low;Strong
FR410247A;1910;B64C39/00;B64C;FR410247A;1;0;0;0;0;0;0;Inactive;6;Low;Weak
GB145891A;1920;B64C39/00;B64C;GB145891A;1;0;0;0;0;0;0;Inactive;6;Low;Weak
EP3055208A4;2017;B64D5/00 | B64C1/20 | B64C27/26 | B64C39/00;B64D;CA2829368A1 | CA2928839A1 | EP3055208A1 | EP3055208A4 | US20160214717A1 | WO2015051436A1;6;183;2;0;4;0;0;Pending;27;High;Strong
WO2017160354A1;2017;B64C39/00 | G05D1/12 | G05D1/10;B64C;US9910431 | WO2017160354A1;2;0;0;0;5;0;0;Undetermined;36;High;Strong
FR437646A;1912;B64C39/00 | B64C39/06;B64C;FR437646A;1;0;0;0;0;0;0;Inactive;21;Low;Strong
FR790201A;1935;B64C39/00 | B64C39/06;B64C;FR790201A;1;1;0;1;0;0;0;Inactive;1;Low;Strong
US3785592;1974;B64C39/06 | B64C39/00 | B64C27/20;B64C;US3785592;1;50;0;50;7;1;2;Inactive;3;High;Strong
CN102490903A;2012;B64C39/00;B64C;CN102490903A;1;6;1;6;6;5;6;Inactive;9;Low;Strong
FR2619861A1;1989;B64C39/00 | F03G7/00;B64C;FR2619861A1;1;2;0;2;0;2;2;Inactive;27;Low;Strong
US4795111;1989;B64C27/00 | B64C39/00 | B64C27/20 | B64C39/02 | B64C29/02;B64C;CA1264714A | DE3870650D1 | EP0279391A2 | EP0279391A3 | EP0279391B1 | IL85439A | IL85439D0 | JP1988291798A | US4795111;9;160;0;136;11;3;7;Inactive;50;High;Strong
US6378803;2002;B64C23/00 | B64C1/00 | B64C5/00 | B64C39/00 | B64C5/18 | B64C3/00 | B64C3/58 | B64C39/10;B64C;EP1112927A1 | EP1112927B1 | US6378803;3;13;0;11;8;3;3;Inactive;19;High;Strong
DE8337141U1;1984;B64C31/06 | B64C39/00;B64C;DE8337141U1;1;0;0;0;0;0;0;Inactive;48;Low;Strong
WO2002058756A3;2002;C08K5/03 | B64C39/10 | A61L29/08 | H04B7/185 | A61L29/16 | G05D1/00 | C08L75/04 | B64C3/52 | B64C39/00 | A61L2/20 | C08K5/101 | A61L29/00 | B64D31/06 | A61L2/08 | B64C39/02 | B64C3/42 | C08L101/00 | B64C15/02 | B64D27/24 | A61L29/14;C08K;AT322298T | AU2002246277B2 | CA2431126A1 | CA2431126C | DE60118602D1 | DE60118602T2 | DK1343546T3 | EP1343546A2 | EP1343546B1 | ES2261517T3 | HK1059056A1 | JP2004517690A | MXPA03005404A | NZ526455A | PT1343546E | WO2002058756A2 | WO2002058756A3;17;20;0;0;3;0;0;Undetermined;53;Low;Strong
US4165848;1979;B64C39/00 | F04D29/28 | B64C39/06 | B64C29/02;B64C;CA1093527A | DD131082A5 | DE2733463A1 | FR2361559A1 | GB1582980A | IT1067613B1 | JP1978020297A | US4165848;8;7;0;3;14;0;0;Inactive;7;High;Weak
US6604706;2003;B64C29/00 | B64C17/00 | B64C17/06 | B64C29/02 | B64C39/00 | B64C39/02;B64C;AU2000022515A1 | IL141628D0 | US20040129828A1 | US6604706 | US7044422 | WO2000015497A2 | WO2000015497A3;7;112;0;89;64;18;33;Active;43;High;Strong
DE3612003A1;1987;B64C39/00 | B64C29/02;B64C;DE3612003A1;1;1;0;1;0;0;0;Inactive;31;Low;Weak
ES2289903B1;2008;B64C39/00 | B64C29/00;B64C;ES2289903A1 | ES2289903B1;2;0;0;0;0;0;0;Inactive;10;Low;Strong
FR324521A;1903;B64C39/00;B64C;FR324521A;1;0;0;0;0;0;0;Inactive;30;Low;Weak
FR2055818B1;1974;B64C39/00 | B64C27/00;B64C;FR2055818A1 | FR2055818B1;2;0;0;0;0;0;0;Inactive;59;Low;Strong
FR744664A;1933;B64C39/00 | B64C39/10;B64C;FR744664A;1;0;0;0;0;0;0;Inactive;1;Low;Strong
US20100213309A1;2010;B64C39/00 | B64C3/42 | B64C9/00 | B64C3/00 | B64D27/24;B64C;US20100213309A1 | US20120091263A1 | US20120091267A1 | WO2009036465A1 | WO2009036465A9;5;49;0;24;19;3;9;Inactive;49;High;Strong
GB383441A;1932;B64C39/00;B64C;GB383441A;1;0;0;0;0;0;0;Inactive;11;Low;Strong
KR200205513Y1;2000;B64C39/00 | B64C39/02;B64C;KR200205513Y1;1;1;0;1;0;0;0;Inactive;14;Low;Strong
CN204197292U;2015;B64C39/00 | B64C27/08;B64C;CN204197292U;1;15;0;15;0;15;15;Inactive;13;Low;Weak
RU2392191C1;2010;B64C39/00;B64C;RU2392191C1;1;0;1;0;3;0;0;Inactive;3;Low;Weak
US6050520;2000;B64C29/00 | B64C39/06 | B64C39/00 | B64C15/00;B64C;US6050520;1;52;0;52;9;4;7;Inactive;25;High;Weak
CA2545442A1;2007;B64C39/00 | B64B1/06 | B64C31/00 | B64C37/00;B64C;CA2545442A1;1;4;0;4;0;4;4;Inactive;15;Low;Strong
FR441240A;1912;B64C39/00;B64C;FR441240A;1;0;0;0;0;0;0;Inactive;9;Low;Strong
GB191305099A;1913;B64C39/00;B64C;GB191305099A;1;0;0;0;0;0;0;Inactive;3;Low;Strong
CH348052A;1960;B64C39/00 | B64C39/06 | B64C29/02 | B64C29/00;B64C;CH348052A;1;1;0;1;0;0;0;Inactive;1;Low;Strong
